f[GHz],theta[deg],phi[deg],RCS[dB]
26,24,14,-21.704
26,26,14,-22.257
26,28,14,-18.568
26,30,14,-20.722
26,32,14,-30.644
26,34,14,-26.883
26,36,14,-22.629
26,38,14,-34.521
26,40,14,-22.783
26,42,14,-26.413
26,44,14,-29.471
26,46,14,-21.31
26,48,14,-25.447
26,50,14,-28.369
26,52,14,-19.085
26,54,14,-21.954
26,56,14,-18.422
26,58,14,-21.268
26,60,14,-23.187
26,62,14,-25.257
26,64,14,-26.224
26,66,14,-28.463
26,68,14,-29.164
26,70,14,-29.208
26,72,14,-26.697
26,74,14,-32.049
26,76,14,-17.959
26,78,14,-21.366
26,80,14,-25.897
26,82,14,-15.189
26,84,14,-24.253
26,86,14,-23.121
26,88,14,-20.64
26,90,14,-20.939
26,-90,16,-21.777
26,-88,16,-17.397
26,-86,16,-24.145
26,-84,16,-30.402
26,-82,16,-15.003
26,-80,16,-16.275
26,-78,16,-18.585
26,-76,16,-25.885
26,-74,16,-23.934
26,-72,16,-26.175
26,-70,16,-26.269
26,-68,16,-26.746
26,-66,16,-21.916
26,-64,16,-22.292
26,-62,16,-20.266
26,-60,16,-25.212
26,-58,16,-28.338
26,-56,16,-21.868
26,-54,16,-21.165
26,-52,16,-22.317
26,-50,16,-19.974
26,-48,16,-19.479
26,-46,16,-19.862
26,-44,16,-27.463
26,-42,16,-32.498
26,-40,16,-25.507
26,-38,16,-25.858
26,-36,16,-23.706
26,-34,16,-26.677
26,-32,16,-32.421
26,-30,16,-25.682
26,-28,16,-23.205
26,-26,16,-46.14
26,-24,16,-23.012
26,-22,16,-20.941
26,-20,16,-28.367
26,-18,16,-30.298
26,-16,16,-35.72
26,-14,16,-19.016
26,-12,16,-19.494
26,-10,16,-29.211
26,-8,16,-22.268
26,-6,16,-15.763
26,-4,16,-9.9009
26,-2,16,-7.1519
26,0,16,-1.4729
26,2,16,3.4851
26,4,16,3.7951
26,6,16,0.37809
26,8,16,-3.1689
26,10,16,-8.4329
26,12,16,-14.273
26,14,16,-29.925
26,16,16,-17.214
26,18,16,-22.06
26,20,16,-21.302
26,22,16,-25.009
26,24,16,-24.767
26,26,16,-22.085
26,28,16,-23.975
26,30,16,-35.479
26,32,16,-30.7
26,34,16,-32.364
26,36,16,-23.27
26,38,16,-24.683
26,40,16,-22.632
26,42,16,-23.434
26,44,16,-23.331
26,46,16,-30.439
26,48,16,-26.072
26,50,16,-30.456
26,52,16,-20.056
26,54,16,-20.432
26,56,16,-16.418
26,58,16,-21.982
26,60,16,-19.144
26,62,16,-23.986
26,64,16,-34.67
26,66,16,-27.38
26,68,16,-33.858
26,70,16,-26.876
26,72,16,-34.364
26,74,16,-29.135
26,76,16,-22.806
26,78,16,-20.985
26,80,16,-18.244
26,82,16,-18.059
26,84,16,-20.749
26,86,16,-19.7
26,88,16,-20.081
26,90,16,-27.051
26,-90,18,-16.175
26,-88,18,-17.873
26,-86,18,-19.022
26,-84,18,-25.035
26,-82,18,-16.366
